File_Name,Domain,Attorney_Name,Firm_Name,Practice_Area,Paralegals_Found,Emails_Verified,Likely_Valid,Invalid,Valid_Rate_%,Error
grok_paralegal_search_bakerlaw_us_20251018_021629_w2.json,bakerlaw.us,Adam S. Baker,"Baker, Baker & Baker LLC",PERSONAL_INJURY,1,3,3,0,100.0,
grok_paralegal_search_alaw_net_20251018_024219_w3.json,alaw.net,F. Peter Costello,"Albertelli Law Partners Ohio, LLC",FORECLOSURE,3,9,9,0,100.0,
grok_paralegal_search_216lawyers_com_20251018_024752_w3.json,216lawyers.com,ALEXANDER LASZLO PAL,"OBRAL, SILK & PAL, LLC",PERSONAL_INJURY,4,12,12,0,100.0,
grok_paralegal_search_cbjustice_com_20251018_035225_w1.json,cbjustice.com,Aaron P. Berg,"Caravona & Berg, LLC",OTHER,3,9,9,0,100.0,
grok_paralegal_search_buckeyelawgroup_com_20251018_021253_w1.json,buckeyelawgroup.com,Gregory E. Gudin,"The Buckeye Law Group, Inc.",PERSONAL_INJURY,5,15,15,0,100.0,
grok_paralegal_search_cdgattorneys_com_20251018_021804_w0.json,cdgattorneys.com,David J. Demers,"Cooke Demers, LLC",FORECLOSURE,4,12,12,0,100.0,
grok_paralegal_search_blle_com_20251018_030305_w2.json,blle.com,Annemarie C. Lapham,Javitch Block LLC,DEBT_COLLECTION,8,24,24,0,100.0,
grok_paralegal_search_cavitch_com_20251018_021302_w3.json,cavitch.com,Derek P. Hartman,"CAVITCH FAMILO & DURKIN CO., L.P.A.",FORECLOSURE,8,24,24,0,100.0,
grok_paralegal_search_brockandscott_com_20251018_020911_w2.json,brockandscott.com,YanFang Marilyn Ramirez,"BROCK & SCOTT, PLLC",FORECLOSURE,15,45,45,0,100.0,
grok_paralegal_search_dobbinslawohio_com_20251018_032649_w0.json,dobbinslawohio.com,Elizabeth A. Dobbins,Dobbins Law,ADMINISTRATIVE APPEAL,0,0,0,0,0,
grok_paralegal_search_clunkhoose_com_20251018_023436_w3.json,clunkhoose.com,Ted A. Humbert,"CLUNK, HOOSE CO., LPA",FORECLOSURE,8,24,24,0,100.0,
